Path,File Name,AI Description,Developer Remark
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\routes.py,Chat HTTP/JSON routes for threads messages reactions),
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\static,Chat static assets directory.,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\static\chat.js,Chat frontend JS (polling send reactions),
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\templates,Chat templates directory.,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\templates\chat,Chat template files folder.,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\templates\chat\index.html,Chat index/list page template.,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\templates\chat\layout.html,Chat layout/sidebar template.,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\templates\chat\new_chat.html,New chat creation form template.,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\templates\chat\thread.html,Chat thread view template (messages/reactions).,
Chat,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\chat\util.py,Chat utility helpers (current user etc),
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles ,Profiles module package for resumes/vCards.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\__init__.py,Registers Profiles module blueprints.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\models.py,Profiles module models (profiles shares pairs),
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\routes.py,Profiles module routes for sharing/editing resumes and vcards.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates,Profiles templates directory.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles,Profiles template files folder.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\edit_pair.html,Template to edit paired profile data.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\edit_vcard.html,Template to edit vCard info.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\home.html,Profiles module home/dashboard template.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\share_cvfile.html,Template for sharing a CV file.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\share_pair.html,Template for sharing paired profile data.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\share_vcard.html,Template for sharing a vCard.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\view_public_cv.html,Public view template for a CV.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\view_public_pair.html,Public view template for paired profile data.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\templates\profiles\view_public_vcard.html,Public view template for a vCard.,
Profiles,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\profiles\util.py,Profiles helpers (tokens filenames PDF checks),
Modules,C:\Users\Hp\Dropbox\AppDev\rgapp\modules,Top-level modules package directory.,
Modules,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\__init__.py,Package initializer for modules.,
Services,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\services ,Services module package for providers directory.,
Services,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\services\__init__.py,Registers services module blueprint.,
Services,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\services\routes.py,Services module routes.,
Services,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\services\templates,Services templates directory.,
Services,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\services\templates\services,Services template files folder.,
Services,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\services\templates\services\_provider_card.html,Partial template for a provider card.,
Services,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\services\templates\services\index.html,Services index/list template.,
Social,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\social ,Social module package for feed/social features.,
Social,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\social\__init__.py,Registers social module blueprint.,
Social,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\social\models.py,Social module models.,
Social,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\social\routes.py,Social module routes.,
Social,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\social\templates,Social templates directory.,
Social,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\social\templates\social,Social template files folder.,
Social,C:\Users\Hp\Dropbox\AppDev\rgapp\modules\social\templates\social\index.html,Social index/feed template.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql,Folder containing SQL migration scripts.,
Static,C:\Users\Hp\Dropbox\AppDev\rgapp\static,Static assets root.,
Static,C:\Users\Hp\Dropbox\AppDev\rgapp\static\bridge.css,Main CSS for production app styling.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates,Shared Jinja template root.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\admin.html,Admin dashboard template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\admin_edit_user.html,Admin user edit form template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\admin_log.html,Admin audit/log view template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\admin_modules.html,Admin module management template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\app_shell.html,Base shell template including navbar/sidebar.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\base.html,Root base template with blocks.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\forgot_password.html,Password reset request template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\invite.html,Invite user email/link template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\login.html,Login form template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\profile.html,User profile page template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\register.html,Registration form template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\reset_password.html,Password reset page template.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\welcome.html,Welcome landing after login.,
Templates,C:\Users\Hp\Dropbox\AppDev\rgapp\templates\dev_login.html,Developer-only login list when dev_login is enabled.,
Static,C:\Users\Hp\Dropbox\AppDev\rgapp\assets\img\raygrow-icon.svg,RayGrow brand SVG icon used by static/docs.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0001_baseline.sql,Initial RB schema migration.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0002_cv_module.sql,Adds CV module rows and related schema.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0003_cv_onepage_editable.sql,CV editable one-page adjustments.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0004_vcard_cvfile_upload.sql,Adds vCard/CV file upload columns.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0005_schema_alignment.sql,Schema alignment cleanup migration.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0006_social.sql,Introduces social feed schema.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0007_public_links.sql,Adds public link support for CVs.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0008_user_handle.sql,Adds unique user handle to profiles.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0009_social_likes.sql,Adds likes to social posts.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0010_vcard_availability.sql,Adds availability fields to vCards.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0011_cv_preferences.sql,Adds CV preference fields.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0012_cv_cover_letter_pdf.sql,Adds cover letter PDF support.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0013_public_link_targets.sql,Extends public link targets.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0014_services_module.sql,Registers Services module and grants.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0015_chat_last_read.sql,Adds chat last-read tracking.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0016_cv_unified_profile.sql,Unifies CV profile data.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0017_chat_broadcast_reactions.sql,Adds reactions for broadcast chats.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\0018_profiles_module.sql,Rename CV module key to profiles and migrate grants.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\deploy1.sql,Aggregate deploy SQL snapshot.,
SQL,C:\Users\Hp\Dropbox\AppDev\rgapp\migrations_sql\README.md,Notes for running SQL migrations.,
